,index,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,total_ratings,positive_percent,negative_percent
0,0,124534,3339,17612,317,15000000,7.19,127873,97.38881546534452,2.6111845346554787
1,1,3318,633,277,62,7500000,3.99,3951,83.97873955960516,16.021260440394837
2,2,3416,398,187,34,7500000,3.99,3814,89.56476140534872,10.435238594651285
3,3,1273,267,258,184,7500000,3.99,1540,82.66233766233766,17.337662337662337
4,4,5250,288,624,415,7500000,3.99,5538,94.79956663055255,5.200433369447454
5,5,2758,684,175,10,7500000,3.99,3442,80.12783265543288,19.872167344567114
6,6,27755,1100,1300,83,7500000,7.19,28855,96.18783573037601,3.812164269623982
7,7,12120,1439,427,43,15000000,7.19,13559,89.38712294416993,10.612877055830076
8,8,3822,420,361,205,7500000,3.99,4242,90.0990099009901,9.900990099009901
9,9,67902,2419,691,402,15000000,7.19,70321,96.56006029493324,3.4399397050667657
10,10,76640,3497,6842,400,15000000,7.19,80137,95.63622296816702,4.363777031832986
11,11,3767,1053,190,214,3500000,0.0,4820,78.15352697095436,21.846473029045644
12,12,10489,1210,1356,134,7500000,7.19,11699,89.65723566116762,10.34276433883238
13,13,6020,787,311,32,15000000,3.99,6807,88.43837226384605,11.561627736153959
14,14,5783,1020,46,29,15000000,0.0,6803,85.00661472879611,14.993385271203879
15,15,1362,473,102,81,7500000,0.0,1835,74.22343324250681,25.776566757493185
16,16,7908,517,281,184,7500000,5.79,8425,93.86350148367953,6.136498516320475
17,17,51801,1080,288,137,15000000,7.19,52881,97.95767856129801,2.042321438701991
18,18,13902,696,354,301,7500000,5.79,14598,95.23222359227292,4.767776407727086
19,19,515879,34036,8495,623,35000000,0.0,549915,93.81067983233773,6.1893201676622756
20,20,17951,948,897,278,7500000,7.19,18899,94.98386157997778,5.016138420022223
21,21,251789,8418,1615,566,15000000,7.19,260207,96.76488334287701,3.235116657122983
22,22,863507,142079,23944,801,150000000,0.0,1005586,85.87102445738107,14.12897554261893
23,23,138220,1891,1102,520,15000000,7.19,140111,98.65035578933845,1.349644210661547
24,24,17435,941,371,83,3500000,0.0,18376,94.87919024814975,5.120809751850239
25,25,2644404,402313,22494,6502,75000000,0.0,3046717,86.79519627192155,13.204803728078454
26,26,40,17,0,0,35000,5.99,57,70.17543859649122,29.82456140350877
27,27,1562,223,232,258,750000,3.99,1785,87.50700280112045,12.492997198879552
28,28,53710,2649,1328,306,3500000,14.99,56359,95.29977465888322,4.700225341116769
29,29,468,61,0,0,150000,7.19,529,88.468809073724,11.531190926275993
30,30,472,158,182,273,750000,7.19,630,74.92063492063492,25.07936507936508
31,31,1602,152,65,77,750000,6.99,1754,91.33409350057012,8.665906499429875
32,32,2057,344,80,119,750000,7.19,2401,85.67263640149937,14.327363598500625
33,33,368,75,121,224,750000,7.19,443,83.06997742663657,16.93002257336343
34,34,140,44,0,0,75000,22.99,184,76.08695652173914,23.91304347826087
35,35,112,26,0,0,75000,6.99,138,81.15942028985508,18.84057971014493
36,36,451,108,0,0,150000,4.99,559,80.67978533094812,19.32021466905188
37,37,490,152,9,12,150000,4.99,642,76.32398753894081,23.67601246105919
38,38,137,102,0,0,35000,3.99,239,57.32217573221757,42.67782426778243
39,39,191,85,35,35,75000,10.99,276,69.20289855072464,30.79710144927536
40,40,671,106,11,21,150000,2.99,777,86.35778635778635,13.64221364221364
41,41,15083,1111,239,77,1500000,0.0,16194,93.13943435840434,6.860565641595652
42,42,498,238,405,414,1500000,3.99,736,67.66304347826086,32.33695652173913
43,43,2656,1055,484,422,1500000,6.99,3711,71.57100511991376,28.42899488008623
44,44,4386,316,634,700,1500000,4.29,4702,93.27945555082944,6.720544449170565
45,45,1362,66,123,103,350000,12.99,1428,95.37815126050421,4.621848739495799
46,46,891,171,36,32,350000,12.99,1062,83.89830508474576,16.101694915254235
47,47,1773,87,69,110,350000,2.99,1860,95.3225806451613,4.67741935483871
48,48,3705,257,125,179,750000,3.99,3962,93.51337708228168,6.486622917718324
49,49,573,82,120,114,350000,3.99,655,87.48091603053435,12.51908396946565
50,50,2517,182,90,78,750000,3.99,2699,93.25676176361615,6.743238236383846
51,51,2618,136,167,189,350000,3.99,2754,95.06172839506173,4.938271604938271
52,52,1369,107,291,349,350000,3.99,1476,92.75067750677508,7.249322493224933
53,53,65,12,32,32,350000,2.49,77,84.4155844155844,15.584415584415584
54,54,54,33,1,1,350000,2.49,87,62.06896551724138,37.93103448275862
55,55,108,31,0,0,350000,12.99,139,77.6978417266187,22.302158273381295
56,56,249,26,50,50,350000,2.99,275,90.54545454545455,9.454545454545455
57,57,57,20,0,0,150000,2.99,77,74.02597402597402,25.97402597402597
58,58,417,29,0,0,350000,2.99,446,93.49775784753363,6.502242152466367
59,59,4819,792,233,239,1500000,0.0,5611,85.88486900730707,14.115130992692926
60,60,662,204,193,193,150000,4.29,866,76.44341801385681,23.556581986143186
61,61,973,248,186,258,750000,3.99,1221,79.68877968877969,20.31122031122031
62,62,52,46,0,0,75000,0.0,98,53.06122448979592,46.93877551020408
63,63,610,523,0,0,350000,2.99,1133,53.839364518976176,46.16063548102383
64,64,6161,362,350,202,750000,14.99,6523,94.45040625479074,5.549593745209259
65,65,740,87,462,889,75000,9.99,827,89.48004836759371,10.519951632406288
66,66,1555,117,545,849,350000,14.99,1672,93.00239234449761,6.997607655502393
67,67,2434,236,750,1041,350000,14.99,2670,91.16104868913858,8.838951310861423
68,68,490,97,0,0,350000,14.99,587,83.47529812606473,16.524701873935264
69,69,180,33,0,0,35000,1.99,213,84.50704225352112,15.492957746478872
70,70,31,9,0,0,35000,3.99,40,77.5,22.5
71,71,145,77,0,0,35000,5.99,222,65.31531531531532,34.68468468468468
72,72,212,50,732,732,350000,4.99,262,80.91603053435115,19.083969465648856
73,73,282,113,831,1232,350000,9.99,395,71.39240506329114,28.607594936708864
74,74,1633,272,972,1273,750000,15.99,1905,85.7217847769029,14.278215223097114
75,75,142,48,648,648,350000,3.49,190,74.73684210526315,25.263157894736842
76,76,57,18,13,13,35000,3.49,75,76.0,24.0
77,77,2832,4032,1744,3386,350000,24.99,6864,41.25874125874126,58.74125874125874
78,78,52,17,0,0,35000,22.99,69,75.36231884057972,24.637681159420293
79,79,127,31,0,0,75000,22.99,158,80.37974683544303,19.62025316455696
80,80,33,14,0,0,35000,22.99,47,70.2127659574468,29.78723404255319
81,81,5438,343,293,351,750000,5.99,5781,94.06677045493859,5.933229545061408
82,82,139,39,939,939,35000,3.99,178,78.08988764044943,21.910112359550563
83,83,793,198,46,60,150000,8.59,991,80.0201816347124,19.97981836528759
84,84,71,36,0,0,35000,3.99,107,66.35514018691589,33.64485981308411
85,85,294,69,0,0,350000,3.99,363,80.99173553719008,19.00826446280992
86,86,482,53,1422,1429,350000,7.99,535,90.09345794392523,9.906542056074766
87,87,30,94,0,0,35000,4.49,124,24.193548387096776,75.80645161290323
88,88,256,172,1,1,75000,4.49,428,59.813084112149525,40.18691588785047
89,89,429,137,270,270,350000,4.49,566,75.79505300353357,24.204946996466433
90,90,437,37,267,267,150000,4.25,474,92.19409282700421,7.805907172995781
91,91,71,28,0,0,35000,4.25,99,71.71717171717171,28.28282828282828
92,92,1106,66,214,254,350000,4.25,1172,94.36860068259386,5.631399317406143
93,93,707,58,1,1,350000,0.0,765,92.41830065359477,7.5816993464052285
94,94,10,2,0,0,35000,4.25,12,83.33333333333334,16.666666666666664
95,95,10,3,0,0,35000,4.25,13,76.92307692307693,23.076923076923077
96,96,21,8,0,0,35000,4.25,29,72.41379310344827,27.586206896551722
97,97,11,5,0,0,35000,4.25,16,68.75,31.25
98,98,23,7,0,0,35000,4.25,30,76.66666666666667,23.333333333333332
99,99,368,24,237,237,350000,4.25,392,93.87755102040816,6.122448979591836
100,100,98,18,0,0,35000,4.25,116,84.48275862068965,15.517241379310345
101,101,8,5,0,0,35000,4.25,13,61.53846153846154,38.46153846153847
102,102,15,3,0,0,35000,4.25,18,83.33333333333334,16.666666666666664
103,103,14630,454,480,374,1500000,4.25,15084,96.99018827897109,3.0098117210289046
104,104,97,57,0,0,75000,4.25,154,62.98701298701299,37.01298701298701
105,105,8,3,0,0,35000,4.25,11,72.72727272727273,27.27272727272727
106,106,435,28,0,0,150000,4.25,463,93.9524838012959,6.047516198704104
107,107,1181,377,262,371,750000,5.59,1558,75.80231065468548,24.197689345314505
108,108,559,79,8,8,75000,5.59,638,87.61755485893417,12.38244514106583
109,109,1847,95,287,318,350000,6.99,1942,95.1081359423275,4.891864057672503
110,110,1434,219,20,24,350000,3.99,1653,86.7513611615245,13.248638838475499
111,111,260,71,0,0,75000,7.19,331,78.54984894259819,21.45015105740181
112,112,369,110,111,111,75000,6.99,479,77.03549060542797,22.964509394572026
113,113,259,103,771,771,75000,6.99,362,71.54696132596685,28.45303867403315
114,114,8204,456,491,232,3500000,6.99,8660,94.73441108545035,5.265588914549654
115,115,1394,129,49,64,1500000,9.99,1523,91.52987524622456,8.470124753775444
116,116,2578,405,1166,13,3500000,2.99,2983,86.42306402950051,13.576935970499498
117,117,2641,193,296,436,750000,5.99,2834,93.18983768525054,6.810162314749471
118,118,39,49,0,0,35000,2.99,88,44.31818181818182,55.68181818181818
119,119,184,65,0,0,75000,5.99,249,73.89558232931726,26.104417670682732
120,120,121,20,0,0,1500000,2.99,141,85.81560283687944,14.184397163120568
121,121,363721,16433,12422,1875,15000000,6.99,380154,95.67727815569481,4.322721844305202
122,122,4,5,0,0,10000,5.99,9,44.44444444444444,55.55555555555556
123,123,119,43,0,0,350000,25.99,162,73.4567901234568,26.543209876543212
124,124,4,2,0,0,10000,3.99,6,66.66666666666666,33.33333333333333
125,125,43,14,78,78,35000,5.99,57,75.43859649122807,24.561403508771928
126,126,57,36,0,0,35000,7.99,93,61.29032258064516,38.70967741935484
127,127,77,41,0,0,35000,6.99,118,65.2542372881356,34.74576271186441
128,128,31,17,0,0,35000,7.99,48,64.58333333333334,35.41666666666667
129,129,11039,570,493,360,1500000,9.99,11609,95.0900163666121,4.909983633387888
130,130,106,60,124,244,150000,7.99,166,63.85542168674698,36.144578313253014
131,131,76,38,1,1,150000,4.99,114,66.66666666666666,33.33333333333333
132,132,4772,320,175,186,3500000,0.0,5092,93.71563236449332,6.284367635506677
133,133,3485,206,309,340,1500000,9.99,3691,94.41885667840694,5.581143321593064
134,134,2849,133,543,620,1500000,9.99,2982,95.53990610328638,4.460093896713615
135,135,10270,605,469,361,3500000,0.0,10875,94.43678160919539,5.5632183908045985
136,136,1243,221,312,312,350000,9.99,1464,84.90437158469946,15.095628415300547
137,137,7806,562,897,1192,1500000,8.99,8368,93.28393881453155,6.716061185468451
138,138,331,131,33,33,750000,8.99,462,71.64502164502164,28.354978354978357
139,139,585,30,0,0,350000,0.0,615,95.1219512195122,4.878048780487805
140,140,259,46,0,0,75000,9.99,305,84.91803278688525,15.081967213114755
141,141,1081,143,1134,1208,150000,3.99,1224,88.31699346405229,11.683006535947712
142,142,102,22,0,0,150000,3.99,124,82.25806451612904,17.741935483870968
143,143,170,66,1,1,150000,3.99,236,72.03389830508475,27.966101694915253
144,144,246,138,71,71,150000,3.99,384,64.0625,35.9375
145,145,122,17,0,0,10000,0.0,139,87.76978417266187,12.23021582733813
146,146,8372,1498,627,253,1500000,6.99,9870,84.822695035461,15.177304964539006
147,147,6392,379,369,265,1500000,7.19,6771,94.4025993206321,5.597400679367893
148,148,597,31,419,804,150000,4.79,628,95.06369426751591,4.936305732484077
149,149,5684,330,1254,174,1500000,7.19,6014,94.51280345859661,5.487196541403392
150,150,2020,219,127,180,1500000,7.19,2239,90.21884769986602,9.78115230013399
151,151,575,55,801,801,150000,4.79,630,91.26984126984127,8.73015873015873
152,152,29149,2425,618,320,3500000,7.19,31574,92.31963007537848,7.680369924621525
153,153,272,38,17,17,35000,7.19,310,87.74193548387098,12.258064516129032
154,154,115,18,100,100,35000,4.79,133,86.46616541353383,13.533834586466165
155,155,1749,227,255,363,350000,7.19,1976,88.51214574898786,11.487854251012147
156,156,1025,164,21,21,150000,3.99,1189,86.20689655172413,13.793103448275861
157,157,91,33,0,0,35000,3.99,124,73.38709677419355,26.61290322580645
158,158,1977,186,78,96,350000,4.99,2163,91.40083217753121,8.599167822468793
159,159,460,107,0,0,75000,3.99,567,81.12874779541445,18.871252204585538
160,160,77,100,0,0,35000,3.99,177,43.50282485875706,56.49717514124294
161,161,588,89,20,20,150000,13.99,677,86.85376661742984,13.146233382570163
162,162,1152,102,14,19,350000,5.99,1254,91.86602870813397,8.133971291866029
163,163,1365,226,70,102,750000,0.0,1591,85.79509742300439,14.2049025769956
164,164,100,15,0,0,35000,5.79,115,86.95652173913044,13.043478260869565
165,165,474,90,0,0,75000,6.99,564,84.04255319148936,15.957446808510639
166,166,569,178,74,74,350000,9.99,747,76.17135207496653,23.828647925033465
167,167,1462,1052,90,90,350000,15.99,2514,58.154335719968174,41.84566428003182
168,168,1561,213,63,70,750000,3.99,1774,87.99323562570463,12.00676437429538
169,169,404,71,12,14,750000,3.99,475,85.05263157894737,14.947368421052632
170,170,1333,238,201,302,750000,3.99,1571,84.85041374920432,15.149586250795672
171,171,421,265,14,20,750000,3.99,686,61.37026239067055,38.629737609329446
172,172,1514,260,63,58,1500000,8.29,1774,85.34385569334837,14.656144306651633
173,173,5864,391,435,365,1500000,9.29,6255,93.74900079936052,6.250999200639488
174,174,316,113,0,0,350000,4.99,429,73.65967365967366,26.340326340326342
175,175,1732,846,20,25,1500000,4.99,2578,67.18386346004654,32.81613653995345
176,176,1186,450,62,43,1500000,7.19,1636,72.49388753056235,27.506112469437653
177,177,6242,347,324,245,1500000,4.99,6589,94.73364698740325,5.266353012596752
178,178,649,433,24,31,750000,4.99,1082,59.98151571164511,40.0184842883549
179,179,1135,210,254,368,750000,6.99,1345,84.38661710037175,15.613382899628252
180,180,1656,243,714,725,750000,4.99,1899,87.20379146919431,12.796208530805686
181,181,175,61,0,0,75000,3.99,236,74.15254237288136,25.847457627118644
182,182,248,15,0,0,75000,6.99,263,94.29657794676805,5.7034220532319395
183,183,809,279,0,0,350000,8.99,1088,74.35661764705883,25.643382352941174
184,184,963,55,4774,4774,150000,25.99,1018,94.59724950884086,5.402750491159136
185,185,236,90,14,14,150000,6.99,326,72.39263803680981,27.607361963190186
186,186,86,65,0,0,150000,6.99,151,56.95364238410596,43.04635761589404
187,187,69,54,0,0,35000,6.99,123,56.09756097560976,43.90243902439025
188,188,8,4,0,0,10000,6.99,12,66.66666666666666,33.33333333333333
189,189,1566,981,313,341,750000,6.99,2547,61.48409893992933,38.515901060070675
190,190,3054,2051,327,403,750000,14.99,5105,59.82370225269344,40.17629774730656
191,191,153,194,320,330,350000,6.99,347,44.09221902017291,55.907780979827095
192,192,1114,570,165,253,750000,5.99,1684,66.1520190023753,33.8479809976247
193,193,355,153,46,46,350000,5.99,508,69.88188976377953,30.118110236220474
194,194,420,82,1244,1261,350000,2.99,502,83.66533864541833,16.334661354581673
195,195,385,32,66,82,750000,2.99,417,92.32613908872902,7.673860911270983
196,196,417,53,18,18,750000,2.99,470,88.72340425531915,11.27659574468085
197,197,57,54,0,0,750000,2.99,111,51.35135135135135,48.64864864864865
198,198,2165,136,2235,2224,1500000,2.99,2301,94.08952629291612,5.910473707083876
199,199,146,138,0,0,750000,2.99,284,51.40845070422535,48.59154929577465
200,200,1664,257,0,0,350000,3.99,1921,86.62155127537741,13.378448724622594
201,201,34,50,0,0,35000,1.99,84,40.476190476190474,59.523809523809526
202,202,539,270,113,113,150000,3.99,809,66.62546353522868,33.37453646477132
203,203,8725,821,1417,1503,1500000,19.99,9546,91.39953907395768,8.600460926042322
204,204,1964,389,239,280,750000,6.99,2353,83.46791330216745,16.532086697832554
205,205,1223,724,209,209,350000,4.99,1947,62.8145865434001,37.185413456599896
206,206,89,103,0,0,75000,3.99,192,46.35416666666667,53.645833333333336
207,207,1779,594,313,565,750000,6.99,2373,74.96839443742098,25.031605562579013
208,208,1028,542,132,132,350000,6.99,1570,65.47770700636943,34.52229299363057
209,209,33636,3231,519,272,3500000,9.99,36867,91.23606477337457,8.763935226625437
210,210,78,71,0,0,150000,0.0,149,52.348993288590606,47.651006711409394
211,211,44,33,0,0,150000,0.0,77,57.14285714285714,42.857142857142854
212,212,69,77,0,0,150000,1.99,146,47.26027397260274,52.73972602739726
213,213,218,25,0,0,150000,22.99,243,89.7119341563786,10.2880658436214
214,214,583,62,109,109,150000,2.99,645,90.3875968992248,9.612403100775193
215,215,8317,2832,5123,230,1500000,0.0,11149,74.59861871019822,25.401381289801776
216,216,1684,348,1636,218,1500000,2.49,2032,82.8740157480315,17.125984251968504
217,217,174,16,0,0,75000,4.99,190,91.57894736842105,8.421052631578947
218,218,1396,66,108,108,1500000,5.99,1462,95.48563611491107,4.514363885088919
219,219,79442,3846,614,519,3500000,19.99,83288,95.38228796465276,4.617712035347229
220,220,197,150,16,16,350000,2.99,347,56.77233429394812,43.22766570605187
221,221,121,28,23,23,350000,2.99,149,81.20805369127517,18.79194630872483
222,222,129030,5565,4760,1797,7500000,19.99,134595,95.8653738994762,4.134626100523794
223,223,35,14,0,0,35000,3.49,49,71.42857142857143,28.57142857142857
