,Year,Game Count,Average Price,Max Price,Min Price,Over 49 Dollars,Under 5 Dollars,Cheap Game Percent
0,2006,41,8.849024390243908,25.99,2.99,0,15,36.58536585365854
1,2007,87,6.02149425287357,19.99,2.49,0,49,56.32183908045977
2,2008,137,6.916861313868621,25.99,0.79,0,42,30.656934306569344
3,2009,295,7.227355932203382,19.99,0.79,0,98,33.220338983050844
4,2010,230,7.645869565217397,35.96,0.79,0,95,41.30434782608695
5,2011,223,8.067937219730945,34.95,0.79,0,67,30.04484304932735
6,2012,295,8.991016949152513,52.99,0.79,1,84,28.474576271186443
7,2013,388,9.367010309278282,75.99,0.79,2,101,26.03092783505155
8,2014,1473,7.878241683638718,78.99,0.79,4,679,46.09640190088255
9,2015,2409,6.920020755500148,60.99,0.32,6,1264,52.46990452469904
10,2016,3920,6.477737244898283,75.99,0.59,9,2148,54.79591836734694
11,2017,5750,6.315892173913335,75.99,0.72,14,3296,57.32173913043478
12,2018,7298,6.114475198684748,79.99,0.72,15,4344,59.5231570293231
