,Genre,Tags,Positive Reviews,Negative Reviews,Copies Sold,Positive Percentage
0,Action,Action,124534,3339,10000000-20000000,0.9738881546534452
1,Action,FPS,124534,3339,10000000-20000000,0.9738881546534452
2,Action,Multiplayer,124534,3339,10000000-20000000,0.9738881546534452
3,Action,Action,3318,633,5000000-10000000,0.8397873955960516
4,Action,FPS,3318,633,5000000-10000000,0.8397873955960516
5,Action,Multiplayer,3318,633,5000000-10000000,0.8397873955960516
6,Action,FPS,3416,398,5000000-10000000,0.8956476140534871
7,Action,Multiplayer,3416,398,5000000-10000000,0.8956476140534871
8,Action,Action,1273,267,5000000-10000000,0.8266233766233766
9,Action,FPS,1273,267,5000000-10000000,0.8266233766233766
10,Action,Multiplayer,1273,267,5000000-10000000,0.8266233766233766
11,Action,FPS,5250,288,5000000-10000000,0.9479956663055255
12,Action,Action,5250,288,5000000-10000000,0.9479956663055255
13,Action,Action,2758,684,5000000-10000000,0.8012783265543288
14,Action,FPS,2758,684,5000000-10000000,0.8012783265543288
15,Action,Multiplayer,2758,684,5000000-10000000,0.8012783265543288
16,Action,FPS,27755,1100,5000000-10000000,0.9618783573037601
17,Action,Action,27755,1100,5000000-10000000,0.9618783573037601
18,Action,Action,12120,1439,10000000-20000000,0.8938712294416993
19,Action,FPS,12120,1439,10000000-20000000,0.8938712294416993
20,Action,Multiplayer,12120,1439,10000000-20000000,0.8938712294416993
21,Action,FPS,3822,420,5000000-10000000,0.900990099009901
22,Action,Action,3822,420,5000000-10000000,0.900990099009901
23,Action,FPS,67902,2419,10000000-20000000,0.9656006029493324
24,Action,Action,67902,2419,10000000-20000000,0.9656006029493324
25,Action,Action,76640,3497,10000000-20000000,0.9563622296816702
26,Action,FPS,76640,3497,10000000-20000000,0.9563622296816702
27,Action,Multiplayer,76640,3497,10000000-20000000,0.9563622296816702
28,Action,FPS,3767,1053,2000000-5000000,0.7815352697095436
29,Action,Action,3767,1053,2000000-5000000,0.7815352697095436
30,Action,FPS,10489,1210,5000000-10000000,0.8965723566116762
31,Action,Multiplayer,10489,1210,5000000-10000000,0.8965723566116762
32,Action,Action,6020,787,10000000-20000000,0.8843837226384604
33,Action,FPS,6020,787,10000000-20000000,0.8843837226384604
34,Action,Multiplayer,6020,787,10000000-20000000,0.8843837226384604
35,Action,FPS,5783,1020,10000000-20000000,0.8500661472879611
36,Action,Action,5783,1020,10000000-20000000,0.8500661472879611
37,Action,Action,1362,473,5000000-10000000,0.7422343324250681
38,Action,FPS,1362,473,5000000-10000000,0.7422343324250681
39,Action,Multiplayer,1362,473,5000000-10000000,0.7422343324250681
40,Action,FPS,7908,517,5000000-10000000,0.9386350148367952
41,Action,Action,7908,517,5000000-10000000,0.9386350148367952
42,Action,Puzzle,51801,1080,10000000-20000000,0.9795767856129801
43,Action,FPS,13902,696,5000000-10000000,0.9523222359227291
44,Action,Action,13902,696,5000000-10000000,0.9523222359227291
45,Action,Free to Play,515879,34036,20000000-50000000,0.9381067983233773
46,Action,Multiplayer,515879,34036,20000000-50000000,0.9381067983233773
47,Action,FPS,515879,34036,20000000-50000000,0.9381067983233773
48,Free to Play,Free to Play,515879,34036,20000000-50000000,0.9381067983233773
49,Free to Play,Multiplayer,515879,34036,20000000-50000000,0.9381067983233773
50,Free to Play,FPS,515879,34036,20000000-50000000,0.9381067983233773
51,Action,Zombies,17951,948,5000000-10000000,0.9498386157997778
52,Action,FPS,17951,948,5000000-10000000,0.9498386157997778
53,Action,Zombies,251789,8418,10000000-20000000,0.9676488334287702
54,Action,FPS,251789,8418,10000000-20000000,0.9676488334287702
55,Action,Free to Play,863507,142079,100000000-200000000,0.8587102445738107
56,Action,Strategy,863507,142079,100000000-200000000,0.8587102445738107
57,Free to Play,Free to Play,863507,142079,100000000-200000000,0.8587102445738107
58,Free to Play,Strategy,863507,142079,100000000-200000000,0.8587102445738107
59,Strategy,Free to Play,863507,142079,100000000-200000000,0.8587102445738107
60,Strategy,Strategy,863507,142079,100000000-200000000,0.8587102445738107
61,Action,Puzzle,138220,1891,10000000-20000000,0.9865035578933845
62,Adventure,Puzzle,138220,1891,10000000-20000000,0.9865035578933845
63,Action,Free to Play,17435,941,2000000-5000000,0.9487919024814976
64,Action,Action,17435,941,2000000-5000000,0.9487919024814976
65,Action,FPS,2644404,402313,50000000-100000000,0.8679519627192155
66,Action,Multiplayer,2644404,402313,50000000-100000000,0.8679519627192155
67,Free to Play,FPS,2644404,402313,50000000-100000000,0.8679519627192155
68,Free to Play,Multiplayer,2644404,402313,50000000-100000000,0.8679519627192155
69,Indie,Indie,40,17,20000-50000,0.7017543859649122
70,Indie,Multiplayer,40,17,20000-50000,0.7017543859649122
71,Action,Action,1562,223,500000-1000000,0.8750700280112045
72,Action,FPS,1562,223,500000-1000000,0.8750700280112045
73,Action,FPS,53710,2649,2000000-5000000,0.9529977465888323
74,Action,Zombies,53710,2649,2000000-5000000,0.9529977465888323
75,Action,Action,468,61,100000-200000,0.8846880907372401
76,Action,FPS,468,61,100000-200000,0.8846880907372401
77,Indie,Strategy,472,158,500000-1000000,0.7492063492063492
78,Indie,Indie,472,158,500000-1000000,0.7492063492063492
79,Indie,RTS,472,158,500000-1000000,0.7492063492063492
80,Strategy,Strategy,472,158,500000-1000000,0.7492063492063492
81,Strategy,Indie,472,158,500000-1000000,0.7492063492063492
82,Strategy,RTS,472,158,500000-1000000,0.7492063492063492
83,Indie,Indie,1602,152,500000-1000000,0.9133409350057012
84,Indie,Strategy,1602,152,500000-1000000,0.9133409350057012
85,Strategy,Indie,1602,152,500000-1000000,0.9133409350057012
86,Strategy,Strategy,1602,152,500000-1000000,0.9133409350057012
87,Indie,Strategy,2057,344,500000-1000000,0.8567263640149938
88,Indie,Indie,2057,344,500000-1000000,0.8567263640149938
89,Indie,Multiplayer,2057,344,500000-1000000,0.8567263640149938
90,Strategy,Strategy,2057,344,500000-1000000,0.8567263640149938
91,Strategy,Indie,2057,344,500000-1000000,0.8567263640149938
92,Strategy,Multiplayer,2057,344,500000-1000000,0.8567263640149938
93,Indie,Indie,368,75,500000-1000000,0.8306997742663657
94,Indie,RTS,368,75,500000-1000000,0.8306997742663657
95,Indie,Strategy,368,75,500000-1000000,0.8306997742663657
96,Strategy,Strategy,140,44,50000-100000,0.7608695652173914
97,Strategy,Simulation,140,44,50000-100000,0.7608695652173914
98,Strategy,Strategy,112,26,50000-100000,0.8115942028985508
99,Strategy,Strategy,451,108,100000-200000,0.8067978533094812
100,Strategy,Strategy,490,152,100000-200000,0.7632398753894081
101,Strategy,Simulation,137,102,20000-50000,0.5732217573221757
102,Strategy,Strategy,137,102,20000-50000,0.5732217573221757
103,Strategy,Strategy,191,85,50000-100000,0.6920289855072463
104,Strategy,Space,191,85,50000-100000,0.6920289855072463
105,RPG,RPG,671,106,100000-200000,0.8635778635778636
106,Strategy,Strategy,498,238,1000000-2000000,0.6766304347826086
107,Strategy,RTS,498,238,1000000-2000000,0.6766304347826086
108,RPG,RPG,2656,1055,1000000-2000000,0.7157100511991377
109,RPG,Open World,2656,1055,1000000-2000000,0.7157100511991377
110,Action,RPG,4386,316,1000000-2000000,0.9327945555082944
